L,n_windows,mean_direct,var_direct,mean_plaq,var_plaq,var_gue,var_poisson,rel_gue_direct_pct,rel_gue_plaq_pct,sep_poisson_sigma,gue_pass_direct,gue_pass_plaq,poi_sep_pass
5,304,5.0000,0.396040,4.9967,0.425732,0.768183,5.000000,48.44,44.58,63.14,0,0,1
10,299,10.0033,0.513412,10.0033,0.560391,0.908644,10.000000,43.50,38.33,69.14,0,0,1
20,289,20.0035,0.482627,20.0000,0.479167,1.049105,20.000000,54.00,54.33,103.10,0,0,1
50,259,50.0154,0.449373,50.0193,0.484122,1.234784,50.000000,63.61,60.79,155.94,0,0,1
