# C-282 ζ(s) 켤레합 포함 A_L 재측정 — B-50 검증
# T_MAX=2000.0, CENTER=0.5, TRIM=40%
# n_all=1517, n_valid=910
# NEW: 전체 영점 + 켤레합 (C-270 방식)
# OLD: ±300 이웃, 같은편만 (C-278 방식)

## 핵심 결과
ρ_S(A_bare_old × gap_min  [C-278]) = -0.928669  p=0.0000e+00
ρ_S(A_L_old    × gap_min  [C-278]) = -0.840553  p=5.9254e-244
ρ_S(A_L_new    × gap_min  [C-282]) = -0.799613  p=2.6287e-203
ρ_S(A_Λ_new    × gap_min  [C-282]) = -0.899825  p=0.0000e+00
ρ_S(A_L_new    × gap_right[C-282]) = -0.164520  p=6.0327e-07
ρ_S(A_Λ_new    × gap_right[C-282]) = -0.455323  p=8.9803e-48

GUE_ref = -0.857
C-270_ref_A_L = -0.800
C-270_ref_A_Lambda = -0.900

## 보조 통계
2H1/A_L_new_mean  = 0.842124
2H1/A_bare_old_mean = 0.899098
mean_A_L_new      = 8.7560
mean_A_Lambda_new = 8.3713
mean_A_bare_old   = 8.0753
mean_A_L_old      = 8.7848
mean_S1_conj      = 0.752959

## 개별 데이터
t,A_bare_old,A_L_old,A_L_new,A_Lambda_new,gap_min_gue,gap_right_gue,S1_conj,H1_conj,sm_im,im_gamma_S
602.579168,5.521813,6.559515,5.526600,6.563678,0.709597,0.760015,1.011797,0.000786,0.785813,0.785813
603.625619,5.417600,5.953212,5.422862,5.954615,0.719725,0.719725,1.010975,0.000784,0.785812,0.785812
604.616218,4.907576,4.206375,4.920410,4.211894,0.719983,1.284459,1.010199,0.000783,0.785812,0.785812
606.383460,2.472424,2.953879,2.478308,2.952046,1.285280,1.476202,1.008818,0.000780,0.785810,0.785810
608.413217,4.964181,7.176469,4.960086,7.165301,0.710605,0.710605,1.007237,0.000777,0.785809,0.785809
609.389575,4.433742,4.935189,4.439801,4.930657,0.710854,1.055397,1.006479,0.000776,0.785808,0.785808
610.839163,4.984970,6.472458,4.981428,6.456670,0.681130,0.681130,1.005355,0.000774,0.785807,0.785807
611.774210,4.730648,4.410271,4.747870,4.411567,0.681358,1.330272,1.004632,0.000773,0.785807,0.785807
613.599779,4.520022,6.235583,4.510851,6.210320,0.763039,0.763039,1.003223,0.000770,0.785806,0.785806
614.646238,5.605885,6.427492,5.607873,6.410130,0.650893,0.650893,1.002418,0.000769,0.785805,0.785805
615.538563,5.576959,4.452444,5.614955,4.467226,0.651099,1.878353,1.001732,0.000768,0.785804,0.785804
618.112831,4.708805,7.038604,4.685701,6.995073,0.782658,0.782658,0.999761,0.000764,0.785803,0.785803
619.184483,4.939499,6.165419,4.933160,6.135508,0.782954,0.795199,0.998943,0.000763,0.785802,0.785802
620.272894,4.347682,4.855640,4.355386,4.836684,0.795503,1.049843,0.998113,0.000761,0.785801,0.785801
621.709295,7.757842,9.790702,7.730702,9.735185,0.486801,0.486801,0.997021,0.000759,0.785800,0.785800
622.375003,8.474503,6.928637,8.538093,6.959066,0.486914,1.385971,0.996516,0.000758,0.785800,0.785800
624.269900,2.594981,3.278030,2.598732,3.248731,1.280386,1.280386,0.995081,0.000756,0.785799,0.785799
626.019283,3.646211,5.191490,3.626550,5.138305,0.914791,0.914791,0.993761,0.000754,0.785798,0.785798
627.268397,4.484177,5.677199,4.473003,5.630040,0.774773,0.774773,0.992821,0.000752,0.785797,0.785797
628.325862,3.947065,3.907121,3.973639,3.894479,0.775056,1.574368,0.992026,0.000751,0.785796,0.785796
630.473887,30.581295,36.227470,30.431850,36.039929,0.243437,0.243437,0.990417,0.000748,0.785795,0.785795
630.805781,26.557232,23.336861,26.700541,23.435944,0.243465,1.041192,0.990169,0.000747,0.785794,0.785794
632.225141,3.872513,4.069645,3.894115,4.045242,0.970037,0.970037,0.989110,0.000745,0.785794,0.785794
633.546858,3.187924,3.109708,3.221102,3.094695,0.970477,1.451579,0.988126,0.000744,0.785793,0.785793
635.523800,2.648198,3.869559,2.630868,3.804474,1.376476,1.376476,0.986658,0.000741,0.785792,0.785792
637.397193,14.459586,18.537907,14.331861,18.362454,0.388431,0.388431,0.985272,0.000739,0.785790,0.785790
637.925514,11.296376,10.593806,11.359364,10.603708,0.388501,0.737133,0.984881,0.000738,0.785790,0.785790
638.927938,5.267236,4.575713,5.333576,4.585505,0.737384,1.299701,0.984142,0.000737,0.785789,0.785789
